Model,Test ROC-AUC,Test F1,Test Precision,Test Recall,Test Accuracy
Voting Ensemble,0.8094083123727392,0.7673179396092362,0.7526132404181185,0.782608695652174,0.747104247104247
SVM (RBF),0.8091238471673254,0.7563176895306859,0.7535971223021583,0.7590579710144928,0.7393822393822393
Stacking Ensemble,0.8082667085878548,0.7646017699115044,0.7474048442906575,0.782608695652174,0.7432432432432432
Logistic Regression,0.8080009581985866,0.7568058076225045,0.7581818181818182,0.7554347826086957,0.7413127413127413
Random Forest,0.8073908551922385,0.771806167400881,0.7512864493996569,0.7934782608695652,0.75
XGBoost,0.8067058929213079,0.7628318584070797,0.745674740484429,0.7807971014492754,0.7413127413127413
k-NN,0.7942455683315367,0.7513321492007105,0.7369337979094077,0.7663043478260869,0.7297297297297297
