Model,CV ROC-AUC,CV F1,Test ROC-AUC,Test F1,Test Precision,Test Recall,Test Accuracy
Logistic Regression,0.8111208938320171,0.760229411187717,0.8079897293088992,0.7561196736174071,0.7568058076225045,0.7554347826086957,0.7403474903474904
Random Forest,0.8025106451648562,0.7479891721323643,0.7910022906934963,0.7491039426523297,0.7411347517730497,0.7572463768115942,0.7297297297297297
SVM (RBF),0.7955345850746063,0.7715344594586298,0.7877215834231645,0.768695652173913,0.7391304347826086,0.8007246376811594,0.7432432432432432
XGBoost,0.7906717648566126,0.7449715438304677,0.7824402623068629,0.7396021699819169,0.7382671480144405,0.7409420289855072,0.722007722007722
k-NN,0.765640862754436,0.7295119333919342,0.7565988441729548,0.7132352941176471,0.7238805970149254,0.7028985507246377,0.6988416988416989
